"","x"
"CELL372_N1_3T26-1-210413","Glu_17_CA_CPLX3"
"CELL8_N5_3T26-1-210413","Glu_18_CA_NPNT"
"CELL318_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL133_N2_3T26-1-210413","GABA_4_Cck_CLMP"
"CELL627_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL306_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL1093_N1_3T26-1-210413","Glu_5_CA_SEMA6D"
"CELL82_N2_3T26-1-210413","Glu_6_CA_CA2"
"CELL98_N2_3T26-1-210413","GABA_2_Pvalb_PLCL1"
"CELL16_N2_3T26-1-210413","Glu_6_CA_CA2"
"CELL466_N1_3T26-1-210413","Glu_0_Dg_PCDH15"
"CELL668_N1_3T26-1-210413","astrocyte_7_astrocyte_astrocyte"
"CELL10_N3_3T26-1-210413","Glu_10_CA_ALK"
"CELL289_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL828_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL233_N2_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL403_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL606_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL1447_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL336_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL277_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL100_N2_3T26-1-210413","Glu_13_CA_NDST4"
"CELL542_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL579_N1_3T26-1-210413","GABA_0_Sst_TRHDE"
"CELL476_N1_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL313_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL92_N2_3T26-1-210413","Glu_6_CA_CA2"
"CELL71_N2_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL419_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL797_N1_3T26-1-210413","vas_fib_15_vas_fib_vas_fib"
"CELL1200_N1_3T26-1-210413","Glu_12_CA_NNAT"
"CELL543_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL1074_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL924_N1_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL962_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL1289_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL52_N2_3T26-1-210413","astrocyte_7_astrocyte_astrocyte"
"CELL273_N1_3T26-1-210413","Glu_10_CA_ALK"
"CELL865_N1_3T26-1-210413","Glu_13_CA_NDST4"
"CELL432_N1_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL326_N1_3T26-1-210413","Glu_19_CA_HHIP"
"CELL842_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL220_N2_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL36_N2_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL1078_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL390_N1_3T26-1-210413","Glu_7_CA_PRKCG"
"CELL783_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL146_N2_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL5_N2_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL785_N1_3T26-1-210413","GABA_0_Sst_TRHDE"
"CELL510_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL214_N3_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL1180_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL15_N2_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL529_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL1349_N1_3T26-1-210413","olig_20_olig_olig"
"CELL342_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL486_N1_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL457_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL1261_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL883_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL315_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL137_N2_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL832_N1_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL211_N2_3T26-1-210413","Glu_8_CA_PDE1C"
